//X Y Z R G B Nx Ny Nz
58.28950119 -51.39500046 2.42125010 71 56 255 0.000000 0.000000 0.000000
58.18325043 -51.40824890 2.40875006 71 56 255 0.000000 0.000000 0.000000
58.09949875 -51.49425125 2.49900007 71 56 255 0.000000 0.000000 0.000000
58.15399933 -51.43700027 2.50375009 71 56 255 0.000000 0.000000 0.000000
58.23799896 -51.40850067 2.53349996 71 56 255 0.000000 0.000000 0.000000
58.24349976 -51.41225052 2.61474991 71 56 255 0.000000 0.000000 0.000000
58.17950058 -51.45774841 2.63175011 71 56 255 0.000000 0.000000 0.000000
58.11299896 -51.50374985 2.66750002 71 56 255 0.000000 0.000000 0.000000
58.12300110 -51.51200104 2.71099997 71 56 255 0.000000 0.000000 0.000000
58.11500168 -51.61550140 2.93024993 70 56 255 0.000000 0.000000 0.000000
58.14374924 -51.63925171 3.01699996 70 56 255 0.000000 0.000000 0.000000
58.13425064 -51.51774979 2.99675012 71 56 255 0.000000 0.000000 0.000000
58.19324875 -51.46500015 2.95324993 71 56 255 0.000000 0.000000 0.000000
58.09799957 -51.54199982 2.98600006 70 56 255 0.000000 0.000000 0.000000
58.18325043 -51.45524979 3.03099990 71 56 255 0.000000 0.000000 0.000000
58.22774887 -51.43799973 3.05349994 71 56 255 0.000000 0.000000 0.000000
58.22275162 -51.43249893 3.13899994 71 56 255 0.000000 0.000000 0.000000
58.21924973 -51.38425064 3.10575008 71 56 255 0.000000 0.000000 0.000000
58.15674973 -51.43075180 3.11875010 71 56 255 0.000000 0.000000 0.000000
58.11849976 -51.61325073 3.30275011 70 56 255 0.000000 0.000000 0.000000
58.24549866 -51.40525055 3.22974992 71 56 255 0.000000 0.000000 0.000000
58.10800171 -51.54724884 3.23574996 70 56 255 0.000000 0.000000 0.000000
58.09149933 -51.53250122 3.26924992 70 56 255 0.000000 0.000000 0.000000
58.13425064 -51.56949997 3.31025004 70 56 255 0.000000 0.000000 0.000000
58.10425186 -51.48749924 3.28049994 71 56 255 0.000000 0.000000 0.000000
58.07825089 -51.51900101 3.39124990 70 56 255 0.000000 0.000000 0.000000
